participant.code,session.code,group.id_in_subsession,player.hours_stated,equal,group,channel,Chat_subject,Chat_group_all,Chat_sel
13k4262b,lz7dyuw7,1,15.0,True,lz7dyuw71,214-stage_1-267,"Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ? Ja, 15 ist richtig. O. k., dann machen wir das doch. Wollen wir den Chat beenden ? O. k., tschüß dann.","Wir haben 15 Überstunden  Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ? finde ich völlig in Ordnung Ja, 15 ist richtig. O. k., dann machen wir das doch. okay# Wollen wir den Chat beenden ? ja O. k., tschüß dann. tschü","Wir haben 15 Überstunden  Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ? finde ich völlig in Ordnung Ja, 15 ist richtig. O. k., dann machen wir das doch. okay# Wollen wir den Chat beenden ? ja O. k., tschüß dann. tschü"
bgb6kfog,lz7dyuw7,1,15.0,True,lz7dyuw71,214-stage_1-267,Wir haben 15 Überstunden  finde ich völlig in Ordnung okay# ja tschü,"Wir haben 15 Überstunden  Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ? finde ich völlig in Ordnung Ja, 15 ist richtig. O. k., dann machen wir das doch. okay# Wollen wir den Chat beenden ? ja O. k., tschüß dann. tschü","Wir haben 15 Überstunden  Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ? finde ich völlig in Ordnung Ja, 15 ist richtig. O. k., dann machen wir das doch. okay# Wollen wir den Chat beenden ? ja O. k., tschüß dann. tschü"
jemdgnjp,lz7dyuw7,2,17.0,True,lz7dyuw72,214-stage_1-268,"wollen wir die richtige Anzahl angeben mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja  von wie vielen? wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen also 16 oder 17 okay 17 also chat beenden?","wollen wir die richtige Anzahl angeben willst du die wahrheit sagen? haha mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja  aber es werden ja nur 2 gruppen ausgewählt von wie vielen? ja gute frage wie viele leute sitzen hier oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen ja das ist gut also 16 oder 17 17? okay 17 okay also chat beenden? ja","wollen wir die richtige Anzahl angeben willst du die wahrheit sagen? haha mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja  aber es werden ja nur 2 gruppen ausgewählt von wie vielen? ja gute frage wie viele leute sitzen hier oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen ja das ist gut also 16 oder 17 17? okay 17 okay also chat beenden? ja"
5t4153nm,lz7dyuw7,2,10.0,True,lz7dyuw72,214-stage_1-268,willst du die wahrheit sagen? haha aber es werden ja nur 2 gruppen ausgewählt ja gute frage wie viele leute sitzen hier oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen ja das ist gut 17? okay ja,"wollen wir die richtige Anzahl angeben willst du die wahrheit sagen? haha mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja  aber es werden ja nur 2 gruppen ausgewählt von wie vielen? ja gute frage wie viele leute sitzen hier oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen ja das ist gut also 16 oder 17 17? okay 17 okay also chat beenden? ja","wollen wir die richtige Anzahl angeben willst du die wahrheit sagen? haha mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja  aber es werden ja nur 2 gruppen ausgewählt von wie vielen? ja gute frage wie viele leute sitzen hier oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen ja das ist gut also 16 oder 17 17? okay 17 okay also chat beenden? ja"
wmznqgle,lz7dyuw7,3,50.0,True,lz7dyuw73,214-stage_1-269,"Reichen dir die 15 ? ok mir ists eigentlich egal, wir können auch 50 sagen. die chance kontrolliert zu werden liegt bei 1/3  ok also 15? ja 12 Leute, 6 Gruppen, 2 werden ausgewählt top :D 9€ safe ja ansonsten 4 sind nur 1,5 € verlust ja ja die chance ist trotzdem 1/3 die sieht ja nicht wer was angegeben hat","Reichen dir die 15 ? Hallo ja und diR ? ok mir ists eigentlich egal, wir können auch 50 sagen. die chance kontrolliert zu werden liegt bei 1/3  JA ABER NEIN ok also 15? 1 zu 3 ? ja 12 Leute, 6 Gruppen, 2 werden ausgewählt ok alles oder nichts top :D 50 dinger 9€ safe SAFE hoffentlich ja ansonsten 4 sind nur 1,5 € verlust :-) ok 50 ja ;-) wenn das jetzt aber alle machen? WTF ja die chance ist trotzdem 1/3 egal die sieht ja nicht wer was angegeben hat 4,- Euro Safe","Reichen dir die 15 ? Hallo ja und diR ? ok mir ists eigentlich egal, wir können auch 50 sagen. die chance kontrolliert zu werden liegt bei 1/3  JA ABER NEIN ok also 15? 1 zu 3 ? ja 12 Leute, 6 Gruppen, 2 werden ausgewählt ok alles oder nichts top :D 50 dinger 9€ safe SAFE hoffentlich ja ansonsten 4 sind nur 1,5 € verlust :-) ok 50 ja ;-) wenn das jetzt aber alle machen? WTF ja die chance ist trotzdem 1/3 egal die sieht ja nicht wer was angegeben hat 4,- Euro Safe"
for718dj,lz7dyuw7,3,10.0,True,lz7dyuw73,214-stage_1-269,"Hallo ja und diR ? JA ABER NEIN 1 zu 3 ? ok alles oder nichts 50 dinger SAFE hoffentlich :-) ok 50 ;-) wenn das jetzt aber alle machen? WTF egal 4,- Euro Safe","Reichen dir die 15 ? Hallo ja und diR ? ok mir ists eigentlich egal, wir können auch 50 sagen. die chance kontrolliert zu werden liegt bei 1/3  JA ABER NEIN ok also 15? 1 zu 3 ? ja 12 Leute, 6 Gruppen, 2 werden ausgewählt ok alles oder nichts top :D 50 dinger 9€ safe SAFE hoffentlich ja ansonsten 4 sind nur 1,5 € verlust :-) ok 50 ja ;-) wenn das jetzt aber alle machen? WTF ja die chance ist trotzdem 1/3 egal die sieht ja nicht wer was angegeben hat 4,- Euro Safe","Reichen dir die 15 ? Hallo ja und diR ? ok mir ists eigentlich egal, wir können auch 50 sagen. die chance kontrolliert zu werden liegt bei 1/3  JA ABER NEIN ok also 15? 1 zu 3 ? ja 12 Leute, 6 Gruppen, 2 werden ausgewählt ok alles oder nichts top :D 50 dinger 9€ safe SAFE hoffentlich ja ansonsten 4 sind nur 1,5 € verlust :-) ok 50 ja ;-) wenn das jetzt aber alle machen? WTF ja die chance ist trotzdem 1/3 egal die sieht ja nicht wer was angegeben hat 4,- Euro Safe"
k91ypf06,lz7dyuw7,4,30.0,True,lz7dyuw74,214-stage_1-270,So was wollen wir angeben? 15 ja haha also so stehts aufm zettel auf risiko sonst lohnt es sich hicht würde sagen so 30  jo also 70 dann insgesmat ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens  also geben wir dann 30 an ? perfekt,wie viele überstunden hast du So was wollen wir angeben? 15 auf sicher? oder risiko? ja haha also so stehts aufm zettel auf risiko sonst lohnt es sich hicht ja also 40 + 15 =55 angeben? wie viel würde sagen so 30  also 70? aber wenn wir überprüft werden dann wirds abgezogen haha jo also 70 dann insgesmat dann werden 15 punlkte abgezogen ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens  ja wrd ich aber auch sagen also geben wir dann 30 an ? guti 70 perfekt,wie viele überstunden hast du So was wollen wir angeben? 15 auf sicher? oder risiko? ja haha also so stehts aufm zettel auf risiko sonst lohnt es sich hicht ja also 40 + 15 =55 angeben? wie viel würde sagen so 30  also 70? aber wenn wir überprüft werden dann wirds abgezogen haha jo also 70 dann insgesmat dann werden 15 punlkte abgezogen ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens  ja wrd ich aber auch sagen also geben wir dann 30 an ? guti 70 perfekt
7xfwb0zu,lz7dyuw7,4,30.0,True,lz7dyuw74,214-stage_1-270,wie viele überstunden hast du auf sicher? oder risiko? ja also 40 + 15 =55 angeben? wie viel also 70? aber wenn wir überprüft werden dann wirds abgezogen haha dann werden 15 punlkte abgezogen ja wrd ich aber auch sagen guti 70,wie viele überstunden hast du So was wollen wir angeben? 15 auf sicher? oder risiko? ja haha also so stehts aufm zettel auf risiko sonst lohnt es sich hicht ja also 40 + 15 =55 angeben? wie viel würde sagen so 30  also 70? aber wenn wir überprüft werden dann wirds abgezogen haha jo also 70 dann insgesmat dann werden 15 punlkte abgezogen ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens  ja wrd ich aber auch sagen also geben wir dann 30 an ? guti 70 perfekt,wie viele überstunden hast du So was wollen wir angeben? 15 auf sicher? oder risiko? ja haha also so stehts aufm zettel auf risiko sonst lohnt es sich hicht ja also 40 + 15 =55 angeben? wie viel würde sagen so 30  also 70? aber wenn wir überprüft werden dann wirds abgezogen haha jo also 70 dann insgesmat dann werden 15 punlkte abgezogen ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens  ja wrd ich aber auch sagen also geben wir dann 30 an ? guti 70 perfekt
dirw21la,lz7dyuw7,5,50.0,True,lz7dyuw75,214-stage_1-271,"hey hast du nen vorschlag? wie viel wir angeben? ja chance ist etwa 72 prozent, dass wir durchkommen mit lügen würde auf risiko gehen du? jup also 50? ja? wait von den 4 euro können wir aber verlieren oder nicht? wir würden dann bei 50 cent landen glaube schon wenn wir für 30 gehen haben wir in jedem fall 4 euro oder mehr oder doch volles risiko? stimmt dann würden wir auf 2 euro minimum kommen im worst case dann lass 50 machen ok","hallo hey ok scheint zu funktionieren hast du nen vorschlag? wie viel wir angeben? die fixe vergütung sind letzten endes 4 € *ist ja wie hoch ist deine risikobereitschaft? chance ist etwa 72 prozent, dass wir durchkommen mit lügen jup würde auf risiko gehen du? letzten endes haben wir nichts zu verlieren jup also 50? 50 Überstunden alsoß ;D *also ja? ja noch weitere fragen? wait von den 4 euro können wir aber verlieren oder nicht? das bin ich mir nicht sicher wir würden dann bei 50 cent landen glaube schon aber bei 50 überstunden können wir maximal 40 verlieren wenn wir für 30 gehen nicht 40 sry 35 haben wir in jedem fall 4 euro oder mehr oder doch volles risiko? wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen also max 35 bleiben also immer im Plus stimmt ich bin für volles risiko dann würden wir auf 2 euro minimum kommen im worst case jup dann lass 50 machen ok dann beende ich den chat ok","hallo hey ok scheint zu funktionieren hast du nen vorschlag? wie viel wir angeben? die fixe vergütung sind letzten endes 4 € *ist ja wie hoch ist deine risikobereitschaft? chance ist etwa 72 prozent, dass wir durchkommen mit lügen jup würde auf risiko gehen du? letzten endes haben wir nichts zu verlieren jup also 50? 50 Überstunden alsoß ;D *also ja? ja noch weitere fragen? wait von den 4 euro können wir aber verlieren oder nicht? das bin ich mir nicht sicher wir würden dann bei 50 cent landen glaube schon aber bei 50 überstunden können wir maximal 40 verlieren wenn wir für 30 gehen nicht 40 sry 35 haben wir in jedem fall 4 euro oder mehr oder doch volles risiko? wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen also max 35 bleiben also immer im Plus stimmt ich bin für volles risiko dann würden wir auf 2 euro minimum kommen im worst case jup dann lass 50 machen ok dann beende ich den chat ok"
biwxsqhs,lz7dyuw7,5,30.0,True,lz7dyuw75,214-stage_1-271,"hallo ok scheint zu funktionieren die fixe vergütung sind letzten endes 4 € *ist wie hoch ist deine risikobereitschaft? jup letzten endes haben wir nichts zu verlieren 50 Überstunden alsoß ;D *also ja noch weitere fragen? das bin ich mir nicht sicher aber bei 50 überstunden können wir maximal 40 verlieren nicht 40 sry 35 wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen also max 35 bleiben also immer im Plus ich bin für volles risiko jup ok dann beende ich den chat","hallo hey ok scheint zu funktionieren hast du nen vorschlag? wie viel wir angeben? die fixe vergütung sind letzten endes 4 € *ist ja wie hoch ist deine risikobereitschaft? chance ist etwa 72 prozent, dass wir durchkommen mit lügen jup würde auf risiko gehen du? letzten endes haben wir nichts zu verlieren jup also 50? 50 Überstunden alsoß ;D *also ja? ja noch weitere fragen? wait von den 4 euro können wir aber verlieren oder nicht? das bin ich mir nicht sicher wir würden dann bei 50 cent landen glaube schon aber bei 50 überstunden können wir maximal 40 verlieren wenn wir für 30 gehen nicht 40 sry 35 haben wir in jedem fall 4 euro oder mehr oder doch volles risiko? wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen also max 35 bleiben also immer im Plus stimmt ich bin für volles risiko dann würden wir auf 2 euro minimum kommen im worst case jup dann lass 50 machen ok dann beende ich den chat ok","hallo hey ok scheint zu funktionieren hast du nen vorschlag? wie viel wir angeben? die fixe vergütung sind letzten endes 4 € *ist ja wie hoch ist deine risikobereitschaft? chance ist etwa 72 prozent, dass wir durchkommen mit lügen jup würde auf risiko gehen du? letzten endes haben wir nichts zu verlieren jup also 50? 50 Überstunden alsoß ;D *also ja? ja noch weitere fragen? wait von den 4 euro können wir aber verlieren oder nicht? das bin ich mir nicht sicher wir würden dann bei 50 cent landen glaube schon aber bei 50 überstunden können wir maximal 40 verlieren wenn wir für 30 gehen nicht 40 sry 35 haben wir in jedem fall 4 euro oder mehr oder doch volles risiko? wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen also max 35 bleiben also immer im Plus stimmt ich bin für volles risiko dann würden wir auf 2 euro minimum kommen im worst case jup dann lass 50 machen ok dann beende ich den chat ok"
